CombinedKey,Prefix,Opcode,Mnemonic,Bytes,Cycles,Notes
0xCBD3,CB,0xD3,"SET 2,E",2,8,
0xCBD4,CB,0xD4,"SET 2,H",2,8,
0xCBD5,CB,0xD5,"SET 2,L",2,8,
0xCBD6,CB,0xD6,"SET 2,(HL)",2,15,
0xCBD7,CB,0xD7,"SET 2,A",2,8,
0xCBD8,CB,0xD8,"SET 3,B",2,8,
0xCBD9,CB,0xD9,"SET 3,C",2,8,
0xCBDA,CB,0xDA,"SET 3,D",2,8,
0xCBDB,CB,0xDB,"SET 3,E",2,8,
0xCBDC,CB,0xDC,"SET 3,H",2,8,
0xCBDD,CB,0xDD,"SET 3,L",2,8,
0xCBDE,CB,0xDE,"SET 3,(HL)",2,15,
0xCBDF,CB,0xDF,"SET 3,A",2,8,
0xCBE0,CB,0xE0,"SET 4,B",2,8,
0xCBE1,CB,0xE1,"SET 4,C",2,8,
0xCBE2,CB,0xE2,"SET 4,D",2,8,
0xCBE3,CB,0xE3,"SET 4,E",2,8,
0xCBE4,CB,0xE4,"SET 4,H",2,8,
0xCBE5,CB,0xE5,"SET 4,L",2,8,
0xCBE6,CB,0xE6,"SET 4,(HL)",2,15,
0xCBE7,CB,0xE7,"SET 4,A",2,8,
0xCBE8,CB,0xE8,"SET 5,B",2,8,
0xCBE9,CB,0xE9,"SET 5,C",2,8,
0xCBEA,CB,0xEA,"SET 5,D",2,8,
0xCBEB,CB,0xEB,"SET 5,E",2,8,
0xCBEC,CB,0xEC,"SET 5,H",2,8,
0xCBED,CB,0xED,"SET 5,L",2,8,
0xCBEE,CB,0xEE,"SET 5,(HL)",2,15,
0xCBEF,CB,0xEF,"SET 5,A",2,8,
0xCBF0,CB,0xF0,"SET 6,B",2,8,
0xCBF1,CB,0xF1,"SET 6,C",2,8,
0xCBF2,CB,0xF2,"SET 6,D",2,8,
0xCBF3,CB,0xF3,"SET 6,E",2,8,
0xCBF4,CB,0xF4,"SET 6,H",2,8,
0xCBF5,CB,0xF5,"SET 6,L",2,8,
0xCBF6,CB,0xF6,"SET 6,(HL)",2,15,
0xCBF7,CB,0xF7,"SET 6,A",2,8,
0xCBF8,CB,0xF8,"SET 7,B",2,8,
0xCBF9,CB,0xF9,"SET 7,C",2,8,
0xCBFA,CB,0xFA,"SET 7,D",2,8,
0xCBFB,CB,0xFB,"SET 7,E",2,8,
0xCBFC,CB,0xFC,"SET 7,H",2,8,
0xCBFD,CB,0xFD,"SET 7,L",2,8,
0xCBFE,CB,0xFE,"SET 7,(HL)",2,15,
0xCBFF,CB,0xFF,"SET 7,A",2,8,
